settlement_id,txn_ref,settled_amount,settled_at,fee,status
STL00188,TXN00188,8201.47,2025-01-03T09:19:17,133.07,settled
STL00031,TXN00031,7095.30,2025-01-18T11:49:02,165.89,settled
STL00235,TXN00235,8720.25,2025-01-28T01:25:30,137.58,settled
STL00137,TXN00137,5422.92,2025-01-09T01:37:51,134.60,settled
STL00272,TXN00272,1863.36,2025-01-21T22:24:02,38.08,settled
STL00070,TXN00070,6479.32,2025-01-16T16:10:41,143.30,settled
STL00029,TXN00029,168.51,2025-01-19T09:01:04,2.68,settled
STL00288,TXN00288,8671.43,2025-01-14T11:52:35,164.88,settled
STL00160,TXN00160,7216.09,2025-01-19T20:17:03,134.27,settled
STL00122,TXN00122,4349.78,2025-01-30T15:30:28,97.84,settled
STL00231,TXN00231,7560.97,2025-01-15T19:48:33,156.47,settled
STL00148,TXN00148,4310.87,2025-01-08T08:17:26,85.45,settled
STL00183,TXN00183,5390.81,2025-01-22T06:18:44,137.92,settled
STL00096,TXN00096,6506.27,2025-01-18T16:35:48,142.79,settled
STL00067,TXN00067,1956.93,2025-01-18T09:38:03,42.29,settled
STL00181,TXN00181,4224.53,2025-01-28T22:37:20,95.58,settled
STL00033,TXN00033,6637.88,2025-01-28T07:58:20,128.74,settled
STL00211,TXN00211,4884.79,2025-01-07T08:51:46,106.97,settled
STL00184,TXN00184,4987.90,2025-01-10T18:31:09,117.06,settled
STL00191,TXN00191,6479.55,2025-01-07T14:38:00,122.14,settled
STL00118,TXN00118,4667.16,2025-01-24T02:37:12,84.97,settled
STL00089,TXN00089,4674.04,2025-01-09T04:58:55,82.00,settled
STL00275,TXN00275,6153.10,2025-01-09T14:33:26,134.62,settled
STL00244,TXN00244,751.75,2025-01-17T14:07:45,18.28,settled
STL00180,TXN00180,4500.83,2025-01-03T07:59:23,82.14,settled
STL00166,TXN00166,4685.55,2025-01-04T10:30:47,82.07,settled
STL00005,TXN00005,2196.07,2025-01-09T07:39:39,35.54,settled
STL00071,TXN00071,8060.93,2025-01-11T07:24:00,141.46,settled
STL00277,TXN00277,9275.46,2025-01-03T08:39:18,215.15,settled
STL00037,TXN00037,4789.94,2025-01-06T17:47:49,117.91,settled
STL00075,TXN00075,5526.55,2025-01-15T09:49:42,91.77,settled
STL00123,TXN00123,4911.75,2025-01-18T02:39:36,76.82,settled
STL00016,TXN00016,4903.40,2025-01-05T21:33:04,82.41,settled
STL00281,TXN00281,9559.61,2025-01-24T14:34:28,196.59,settled
STL00050,TXN00050,998.10,2025-01-29T07:50:58,15.65,settled
STL00173,TXN00173,9289.85,2025-01-31T14:26:51,205.36,settled
STL00230,TXN00230,8852.23,2025-01-11T03:04:34,197.12,settled
STL00250,TXN00250,9740.30,2025-01-17T18:29:56,152.01,settled
STL00212,TXN00212,3166.19,2025-01-12T03:50:10,63.59,settled
STL00221,TXN00221,7150.06,2025-01-10T12:10:29,114.90,settled
STL00043,TXN00043,6495.37,2025-01-03T21:15:48,112.62,settled
STL00170,TXN00170,6458.10,2025-01-29T20:06:19,125.63,settled
STL00228,TXN00228,7984.34,2025-01-07T04:44:45,125.19,settled
STL00252,TXN00252,7274.24,2025-01-14T22:33:51,184.51,settled
STL00074,TXN00074,6788.73,2025-01-06T08:53:10,118.73,settled
STL00135,TXN00135,9680.52,2025-01-03T11:10:51,242.83,settled
STL00025,TXN00025,1348.25,2025-01-25T13:34:43,22.83,settled
STL00100,TXN00100,2461.19,2025-01-09T23:24:47,53.06,settled
STL00105,TXN00105,3067.14,2025-01-23T14:51:30,64.30,settled
STL00256,TXN00256,3504.60,2025-01-06T23:09:43,75.72,settled
STL00034,TXN00034,2511.78,2025-01-26T10:58:42,49.92,settled
STL00178,TXN00178,608.77,2025-01-06T11:39:42,9.98,settled
STL00201,TXN00201,2075.70,2025-01-02T05:16:47,48.09,settled
STL00258,TXN00258,7898.92,2025-01-13T04:40:51,131.93,settled
STL00008,TXN00008,7569.90,2025-01-02T15:17:51,183.48,settled
STL00081,TXN00081,4602.71,2025-01-12T02:45:21,109.94,settled
STL00107,TXN00107,3168.59,2025-01-04T15:00:42,55.33,settled
STL00146,TXN00146,8351.01,2025-01-21T10:55:27,181.47,settled
STL00218,TXN00218,6961.72,2025-01-02T12:01:12,143.73,settled
STL00149,TXN00149,544.99,2025-01-29T08:03:14,10.32,settled
STL00219,TXN00219,8978.60,2025-01-12T23:34:30,208.97,settled
STL00077,TXN00077,4426.50,2025-01-14T23:56:50,88.04,settled
STL00300,TXN00300,4104.01,2025-01-14T15:30:48,83.84,settled
STL00093,TXN00093,9503.50,2025-01-25T10:57:45,147.24,settled
STL00101,TXN00101,4894.38,2025-01-11T07:02:41,99.25,settled
STL00190,TXN00190,9531.81,2025-01-28T10:52:23,155.34,settled
STL00144,TXN00144,8939.31,2025-01-04T22:08:57,174.06,settled
STL00143,TXN00143,1317.79,2025-01-16T09:20:52,32.05,settled
STL00001,TXN00001,341.62,2025-01-21T06:03:12,5.99,settled
STL00051,TXN00051,5803.73,2025-01-25T13:45:46,143.61,settled
STL00209,TXN00209,8866.65,2025-01-17T10:03:35,201.99,settled
STL00229,TXN00229,9530.75,2025-01-22T12:38:53,168.18,settled
STL00159,TXN00159,6174.93,2025-01-09T05:58:47,144.63,settled
STL00243,TXN00243,2427.88,2025-01-20T14:50:44,53.71,settled
STL00240,TXN00240,1179.12,2025-01-17T16:24:36,21.63,settled
STL00057,TXN00057,7908.70,2025-01-26T16:59:24,133.43,settled
STL00175,TXN00175,2111.53,2025-01-03T23:10:41,39.33,settled
STL00024,TXN00024,924.48,2025-01-31T11:52:02,23.49,settled
STL00194,TXN00194,3501.26,2025-01-30T19:22:21,73.87,settled
STL00196,TXN00196,4507.92,2025-01-13T21:17:08,83.17,settled
STL00061,TXN00061,3298.07,2025-01-14T00:31:22,80.31,settled
STL00296,TXN00296,6648.29,2025-01-12T13:03:36,122.39,settled
STL00267,TXN00267,5018.94,2025-01-26T17:09:41,117.74,settled
STL00271,TXN00271,6670.59,2025-01-16T01:57:37,162.49,settled
