txn_id,timestamp,amount,currency,merchant,status
TXN00017,2025-01-26T15:22:13,6004.45,USD,Myntra,captured
TXN00228,2025-01-06T22:44:45,8109.53,INR,BookMyShow,captured
TXN00109,2025-01-08T13:08:21,1876.47,INR,Ola,captured
TXN00295,2025-01-19T12:14:49,5122.42,EUR,PhonePe Store,captured
TXN00266,2025-01-22T12:38:57,7124.45,INR,Uber,captured
TXN00045,2025-01-01T16:41:08,6249.48,INR,Amazon,captured
TXN00180,2025-01-02T23:59:23,5262.37,EUR,Flipkart,captured
TXN00101,2025-01-11T01:02:41,4993.63,INR,Swiggy,captured
TXN00209,2025-01-17T07:03:35,9068.64,INR,BigBasket,captured
TXN00047,2025-01-15T19:46:40,7065.05,INR,Ola,captured
TXN00184,2025-01-10T16:31:09,5104.96,USD,Amazon,captured
TXN00007,2025-01-03T20:05:57,3002.46,INR,PhonePe Store,captured
TXN00058,2025-01-13T01:24:35,8600.07,INR,Zomato,captured
TXN00034,2025-01-26T03:58:42,2561.70,INR,Ola,captured
TXN00157,2025-01-09T00:17:41,5702.70,INR,PhonePe Store,captured
TXN00041,2025-01-17T19:20:15,1658.58,INR,Swiggy,captured
TXN00015,2025-01-18T09:33:58,7495.44,USD,PhonePe Store,captured
TXN00272,2025-01-21T21:24:02,1901.44,INR,Myntra,captured
TXN00160,2025-01-19T13:17:03,7350.36,INR,Uber,captured
TXN00244,2025-01-17T13:07:45,770.03,INR,Myntra,captured
TXN00115,2025-01-10T21:25:39,9901.31,INR,PhonePe Store,captured
TXN00088,2025-01-11T07:42:22,4601.52,INR,Myntra,captured
TXN00241,2025-01-08T15:17:07,6425.62,EUR,Amazon,captured
TXN00110,2025-01-02T20:08:49,2992.15,INR,BookMyShow,captured
TXN00256,2025-01-06T16:09:43,3580.32,INR,BigBasket,captured
TXN00218,2025-01-02T09:01:12,7105.45,EUR,Ola,captured
TXN00027,2025-01-23T11:20:57,4050.02,INR,BookMyShow,captured
TXN00168,2025-01-31T01:21:17,3113.21,EUR,Amazon,captured
TXN00050,2025-01-29T01:50:58,1013.75,USD,Uber,captured
TXN00215,2025-01-20T21:37:47,5119.97,EUR,PhonePe Store,captured
TXN00094,2025-01-19T13:39:52,4026.88,INR,Amazon,captured
TXN00162,2025-01-27T05:59:27,2644.00,EUR,Uber,captured
TXN00234,2025-01-03T05:50:12,2800.63,INR,Myntra,captured
TXN00233,2025-01-28T13:30:55,5589.95,INR,Ola,captured
TXN00255,2025-01-03T11:56:21,6643.10,INR,BookMyShow,captured
TXN00264,2025-01-07T22:16:39,2927.21,EUR,Zomato,captured
TXN00260,2025-01-12T13:56:21,9499.72,INR,PhonePe Store,captured
TXN00176,2025-01-26T21:41:56,128.07,INR,Swiggy,captured
TXN00252,2025-01-14T14:33:51,7458.75,USD,BigBasket,captured
TXN00042,2025-01-22T08:33:48,4097.38,INR,PhonePe Store,captured
TXN00129,2025-01-22T14:34:48,8154.30,INR,BookMyShow,captured
TXN00216,2025-01-15T20:48:48,6553.19,INR,PhonePe Store,captured
TXN00089,2025-01-09T02:58:55,4756.04,INR,BigBasket,captured
TXN00202,2025-01-11T04:22:06,176.53,USD,Swiggy,captured
TXN00293,2025-01-26T17:14:54,5241.39,INR,PhonePe Store,captured
TXN00223,2025-01-10T20:20:59,3829.13,INR,Swiggy,captured
TXN00189,2025-01-26T04:44:14,5608.07,INR,Amazon,captured
TXN00010,2025-01-22T09:43:13,7048.02,INR,PhonePe Store,captured
TXN00175,2025-01-03T20:10:41,2150.86,INR,Zomato,captured
TXN00111,2025-01-19T10:21:08,4747.03,EUR,BigBasket,captured
TXN00075,2025-01-15T01:49:42,5618.32,INR,BookMyShow,captured
TXN00246,2025-01-12T08:46:44,7356.12,INR,PhonePe Store,captured
TXN00183,2025-01-21T21:18:44,5528.73,INR,Myntra,captured
TXN00201,2025-01-02T00:16:47,2123.79,INR,Swiggy,captured
TXN00070,2025-01-16T06:10:41,6622.62,INR,Ola,captured
TXN00283,2025-01-02T10:33:58,9459.31,USD,Zomato,captured
TXN00204,2025-01-14T00:40:56,4651.57,INR,BigBasket,captured
TXN00148,2025-01-08T03:17:26,4396.32,INR,Amazon,captured
TXN00229,2025-01-22T08:38:53,9698.93,INR,BookMyShow,captured
TXN00199,2025-01-09T07:50:55,7573.94,INR,BigBasket,captured
TXN00298,2025-01-17T22:54:07,7239.71,USD,Swiggy,captured
TXN00113,2025-01-21T01:57:06,1602.10,INR,Amazon,captured
TXN00276,2025-01-31T21:08:26,1626.52,INR,PhonePe Store,captured
TXN00268,2025-01-26T17:59:12,360.21,INR,BookMyShow,captured
TXN00028,2025-01-04T09:01:33,2324.50,INR,Flipkart,captured
TXN00292,2025-01-07T21:56:06,5140.31,INR,Flipkart,captured
TXN00006,2025-01-12T12:31:22,6076.89,INR,BookMyShow,captured
TXN00163,2025-01-26T04:11:35,4736.48,INR,Swiggy,captured
TXN00169,2025-01-05T14:09:00,4591.07,USD,PhonePe Store,captured
TXN00043,2025-01-03T15:15:48,6607.99,INR,Uber,captured
TXN00108,2025-01-09T21:27:58,9768.41,INR,Amazon,captured
TXN00064,2025-01-09T01:36:57,7116.97,INR,Ola,captured
TXN00127,2025-01-21T17:54:11,9693.65,EUR,BigBasket,captured
TXN00022,2025-01-12T05:52:54,5439.85,INR,PhonePe Store,captured
TXN00187,2025-01-14T11:22:43,6684.57,INR,Swiggy,captured
TXN00008,2025-01-02T08:17:51,7753.38,INR,Zomato,captured
TXN00061,2025-01-13T19:31:22,3378.38,INR,Amazon,captured
TXN00287,2025-01-10T18:01:06,6015.44,EUR,Uber,captured
TXN00099,2025-01-25T17:36:12,4702.25,INR,BigBasket,captured
TXN00259,2025-01-22T15:57:12,444.51,INR,Zomato,captured
TXN00152,2025-01-08T16:47:23,6415.26,EUR,Uber,captured
TXN00178,2025-01-06T09:39:42,618.75,USD,Ola,captured
TXN00174,2025-01-01T01:50:29,7889.27,INR,Swiggy,captured
TXN00084,2025-01-26T21:57:49,8988.33,EUR,Zomato,captured
TXN00131,2025-01-22T19:45:18,4673.57,INR,Zomato,captured
TXN00221,2025-01-10T09:10:29,7264.96,INR,BigBasket,captured
TXN00294,2025-01-11T22:19:16,3253.45,USD,PhonePe Store,captured
TXN00279,2025-01-10T16:30:46,822.43,INR,Swiggy,captured
TXN00198,2025-01-02T02:58:13,2793.82,USD,BookMyShow,captured
TXN00271,2025-01-15T16:57:37,6833.08,INR,Swiggy,captured
TXN00052,2025-01-23T15:34:17,5652.98,INR,Amazon,captured
TXN00147,2025-01-28T19:41:52,455.40,INR,Zomato,captured
TXN00230,2025-01-10T17:04:34,9049.35,INR,BigBasket,captured
TXN00247,2025-01-05T01:36:51,3587.76,INR,Swiggy,captured
TXN00253,2025-01-23T18:06:51,3736.73,INR,Amazon,captured
TXN00046,2025-01-09T04:49:21,9339.27,INR,Zomato,captured
TXN00033,2025-01-28T01:58:20,6766.31,INR,Flipkart,captured
TXN00103,2025-01-03T08:47:15,7228.74,EUR,Ola,captured
TXN00080,2025-01-05T05:29:29,2389.49,INR,Zomato,captured
TXN00275,2025-01-09T04:33:26,6287.72,INR,Ola,captured
TXN00211,2025-01-06T22:51:46,4991.76,EUR,PhonePe Store,captured
TXN00222,2025-01-30T12:44:11,3171.29,USD,Swiggy,captured
TXN00261,2025-01-31T13:30:23,3782.93,INR,PhonePe Store,captured
TXN00159,2025-01-09T04:58:47,6319.66,INR,Uber,captured
TXN00236,2025-01-12T08:35:03,3923.04,INR,BigBasket,captured
TXN00300,2025-01-14T05:30:48,4188.31,INR,Myntra,captured
TXN00104,2025-01-21T17:52:12,4536.93,INR,Amazon,captured
TXN00133,2025-01-30T10:29:12,4437.35,EUR,Amazon,captured
TXN00158,2025-01-25T08:22:42,6109.94,INR,Zomato,captured
TXN00278,2025-01-20T23:15:53,399.83,INR,Uber,captured
TXN00105,2025-01-23T08:51:30,3131.44,INR,BookMyShow,captured
TXN00065,2025-01-22T07:10:25,3705.79,INR,BigBasket,captured
TXN00119,2025-01-23T16:31:50,804.68,INR,Uber,captured
TXN00037,2025-01-06T14:47:49,4907.85,INR,Myntra,captured
TXN00208,2025-01-08T12:07:35,7813.27,INR,Ola,captured
TXN00240,2025-01-17T15:24:36,1200.75,INR,Zomato,captured
TXN00257,2025-01-09T23:16:56,9802.27,INR,Amazon,captured
TXN00068,2025-01-13T19:56:59,8353.88,INR,Uber,captured
TXN00125,2025-01-19T00:45:19,9995.77,INR,PhonePe Store,captured
TXN00170,2025-01-29T15:06:19,6583.73,EUR,PhonePe Store,captured
TXN00182,2025-01-03T02:56:29,3288.91,INR,Amazon,captured
TXN00071,2025-01-11T03:24:00,8202.39,INR,Uber,captured
TXN00235,2025-01-27T16:25:30,8857.83,INR,Myntra,captured
TXN00001,2025-01-21T04:03:12,347.61,INR,Zomato,captured
TXN00134,2025-01-26T08:42:45,7126.85,INR,Ola,captured
TXN00161,2025-01-06T07:18:38,1408.38,INR,Ola,captured
TXN00288,2025-01-14T04:52:35,8836.31,INR,Myntra,captured
TXN00263,2025-01-16T18:51:01,3931.18,INR,Uber,captured
TXN00274,2025-01-12T18:53:32,8959.77,INR,Uber,captured
TXN00096,2025-01-18T15:35:48,6649.06,INR,Ola,captured
TXN00117,2025-01-06T08:43:59,1820.75,INR,Swiggy,captured
TXN00130,2025-01-11T04:13:14,9704.83,USD,Ola,captured
TXN00220,2025-01-02T22:58:11,6508.32,INR,BigBasket,captured
TXN00003,2025-01-08T18:23:57,6059.99,INR,Ola,captured
TXN00039,2025-01-22T17:43:08,1632.49,INR,Zomato,captured
TXN00018,2025-01-17T09:09:13,9713.68,INR,Amazon,captured
TXN00060,2025-01-13T11:57:05,2858.17,INR,Uber,captured
TXN00171,2025-01-02T13:29:26,2250.97,EUR,Zomato,captured
TXN00226,2025-01-05T02:48:34,3028.34,INR,Ola,captured
TXN00002,2025-01-22T19:51:22,960.69,USD,Flipkart,captured
TXN00013,2025-01-13T09:44:53,755.27,INR,Zomato,captured
TXN00020,2025-01-15T00:07:05,9542.78,INR,Ola,captured
TXN00009,2025-01-09T16:30:29,6393.28,INR,Swiggy,captured
TXN00135,2025-01-03T08:10:51,9923.35,INR,BookMyShow,captured
TXN00016,2025-01-05T18:33:04,4985.81,INR,Amazon,captured
TXN00139,2025-01-09T00:05:36,2900.11,INR,PhonePe Store,captured
TXN00048,2025-01-31T04:53:21,2718.21,INR,Ola,captured
TXN00205,2025-01-13T23:18:24,4235.17,INR,Myntra,captured
TXN00140,2025-01-28T05:24:36,4520.82,EUR,BigBasket,captured
TXN00036,2025-01-04T01:50:30,6556.23,INR,Amazon,captured
TXN00153,2025-01-29T10:28:20,6808.35,INR,Amazon,captured
TXN00091,2025-01-20T05:32:53,2461.59,EUR,Amazon,captured
TXN00044,2025-01-08T09:40:14,4018.28,INR,BookMyShow,captured
TXN00118,2025-01-23T21:37:12,4752.13,INR,Zomato,captured
TXN00156,2025-01-19T10:46:20,9927.65,INR,Flipkart,captured
TXN00126,2025-01-16T18:53:41,6549.94,INR,Swiggy,captured
TXN00250,2025-01-17T14:29:56,9892.31,EUR,Uber,captured
TXN00087,2025-01-03T23:24:06,4343.27,EUR,Swiggy,captured
TXN00280,2025-01-15T07:25:41,3467.91,INR,BigBasket,captured
TXN00188,2025-01-03T03:19:17,8334.54,INR,Myntra,captured
TXN00207,2025-01-08T15:51:44,5929.83,INR,Myntra,captured
TXN00146,2025-01-21T02:55:27,8532.48,USD,BigBasket,captured
TXN00197,2025-01-25T20:39:55,6002.62,INR,Swiggy,captured
TXN00059,2025-01-12T11:06:41,8223.31,INR,Zomato,captured
TXN00248,2025-01-23T17:25:22,6354.18,INR,Amazon,captured
TXN00051,2025-01-25T04:45:46,6407.42,INR,Swiggy,captured
TXN00040,2025-01-24T19:44:26,703.48,INR,Flipkart,captured
TXN00076,2025-01-22T19:20:16,9880.14,INR,BookMyShow,captured
TXN00107,2025-01-04T07:00:42,3223.92,INR,Zomato,captured
TXN00291,2025-01-05T03:31:12,3999.65,INR,Ola,captured
TXN00150,2025-01-05T08:53:27,5358.55,INR,Swiggy,captured
TXN00200,2025-01-22T21:35:43,4917.66,INR,Flipkart,captured
TXN00191,2025-01-07T05:38:00,6601.69,INR,Amazon,captured
TXN00005,2025-01-09T05:39:39,2231.61,INR,Amazon,captured
TXN00038,2025-01-13T00:04:42,9854.56,INR,BookMyShow,captured
TXN00057,2025-01-26T14:59:24,8042.13,INR,Uber,captured
TXN00145,2025-01-03T17:05:37,7837.10,INR,BigBasket,captured
TXN00012,2025-01-08T11:48:24,8444.23,INR,Zomato,captured
TXN00106,2025-01-14T20:02:20,3374.83,EUR,Uber,captured
TXN00081,2025-01-11T19:45:21,4712.65,INR,Zomato,captured
TXN00242,2025-01-20T19:31:01,262.71,INR,Swiggy,captured
TXN00203,2025-01-23T08:22:41,5052.60,INR,Amazon,captured
TXN00082,2025-01-29T21:15:56,9466.01,INR,PhonePe Store,captured
TXN00121,2025-01-03T02:10:16,1742.64,INR,PhonePe Store,captured
TXN00185,2025-01-28T23:50:14,6544.07,INR,Myntra,captured
TXN00026,2025-01-28T22:05:07,4289.07,INR,Ola,captured
TXN00273,2025-01-27T04:31:14,5229.21,INR,Swiggy,captured
TXN00128,2025-01-22T03:48:30,8591.56,INR,Myntra,captured
TXN00132,2025-01-25T18:08:58,6291.55,INR,Zomato,captured
TXN00093,2025-01-25T05:57:45,9650.74,INR,PhonePe Store,captured
TXN00067,2025-01-18T04:38:03,1999.22,USD,Swiggy,captured
TXN00079,2025-01-23T10:24:10,2421.49,INR,BigBasket,captured
TXN00092,2025-01-15T09:19:46,7692.29,INR,PhonePe Store,captured
TXN00167,2025-01-21T16:54:12,9102.94,INR,Myntra,captured
